Type	Filename	Filename with path	Base filename	Line	Column	Column(0 indexed)	Message level	Message number	Message number (4 digits)	Message text	Message help file	Verbose text	Rule	Group id
++ WARNING ++	Dir-01.01.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-01.01.c	Dir-01	2	0	4294967295	1	5133	5133	 Comment delimiter /* or // found within comment.	C:\PRQA\QA-Framework-1.0.5\components\m3cm-1.0.3\doc-en_US\messages\5133.html	The character sequences /* and // shall not be used within a comment.	M3CM Rule-3.1	7
++ WARNING ++	Dir-01.01.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-01.01.c	Dir-01	131	26	25	1	3108	3108	 Nested comments are not recognized in the ISO standard.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\3108.html	The character sequences /* and // shall not be used within a comment.	M3CM Rule-3.1	7
++ WARNING ++	m3cmex.h	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\m3cmex.h	m3cmex	12	9	8	1	3406	3406	 Object/function 'obj_0806c', with external linkage, has been defined in a header file.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\3406.html	An identifier with external linkage shall have exactly one external definition	M3CM Rule-8.6	7
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	25	8	7	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	26	16	15	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	27	16	15	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	43	8	7	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	49	16	15	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	55	16	15	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	61	16	15	1	3006	3006	 This function contains a mixture of in-line assembler statements and C statements.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\3006.html	Assembly language shall be encapsulated and isolated	M3CM Dir-4.3	6
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	65	4	3	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	67	4	3	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	69	4	3	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	71	5	4	1	1003	1003	 [E] '#asm' is a language extension for in-line assembler. All statements located between #asm and #endasm will be ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1003.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.02.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.02.c	Dir-04	76	8	7	1	1003	1003	 [E] '#endasm' is a language extension for in-line assembler. All statements located between #asm and #endasm will be ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1003.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.03.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.03.c	Dir-04	61	16	15	1	3006	3006	 This function contains a mixture of in-line assembler statements and C statements.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\3006.html	Assembly language shall be encapsulated and isolated	M3CM Dir-4.3	6
++ WARNING ++	Dir-04.03.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.03.c	Dir-04	65	4	3	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.03.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.03.c	Dir-04	69	16	15	1	3006	3006	 This function contains a mixture of in-line assembler statements and C statements.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\3006.html	Assembly language shall be encapsulated and isolated	M3CM Dir-4.3	6
++ WARNING ++	Dir-04.03.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.03.c	Dir-04	73	4	3	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.03.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.03.c	Dir-04	77	16	15	1	3006	3006	 This function contains a mixture of in-line assembler statements and C statements.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\3006.html	Assembly language shall be encapsulated and isolated	M3CM Dir-4.3	6
++ WARNING ++	Dir-04.03.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.03.c	Dir-04	82	5	4	1	1003	1003	 [E] '#asm' is a language extension for in-line assembler. All statements located between #asm and #endasm will be ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1003.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.03.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.03.c	Dir-04	87	8	7	1	1003	1003	 [E] '#endasm' is a language extension for in-line assembler. All statements located between #asm and #endasm will be ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1003.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.03.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.03.c	Dir-04	98	4	3	1	1006	1006	 [E] This in-line assembler construct is a language extension. The code has been ignored.	C:\PRQA\QA-Framework-1.0.5\components\qac-8.2.2\doc-en_US\messages\1006.html	All usage of assembly language should be documented, Language extensions should not be used	M3CM Dir-4.2, M3CM Rule-1.2	5
++ WARNING ++	Dir-04.06.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.06.c	Dir-04	31	0	4294967295	1	5209	5209	 Use of basic type 'signed char'.	C:\PRQA\QA-Framework-1.0.5\components\m3cm-1.0.3\doc-en_US\messages\5209.html	typedefs that indicate size and signedness should be used in place of the basic numerical types	M3CM Dir-4.6	4
++ WARNING ++	Dir-04.06.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.06.c	Dir-04	32	0	4294967295	1	5209	5209	 Use of basic type 'short'.	C:\PRQA\QA-Framework-1.0.5\components\m3cm-1.0.3\doc-en_US\messages\5209.html	typedefs that indicate size and signedness should be used in place of the basic numerical types	M3CM Dir-4.6	4
++ WARNING ++	Dir-04.06.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.06.c	Dir-04	33	0	4294967295	1	5209	5209	 Use of basic type 'signed short'.	C:\PRQA\QA-Framework-1.0.5\components\m3cm-1.0.3\doc-en_US\messages\5209.html	typedefs that indicate size and signedness should be used in place of the basic numerical types	M3CM Dir-4.6	4
++ WARNING ++	Dir-04.06.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.06.c	Dir-04	34	0	4294967295	1	5209	5209	 Use of basic type 'short int'.	C:\PRQA\QA-Framework-1.0.5\components\m3cm-1.0.3\doc-en_US\messages\5209.html	typedefs that indicate size and signedness should be used in place of the basic numerical types	M3CM Dir-4.6	4
++ WARNING ++	Dir-04.06.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.06.c	Dir-04	35	0	4294967295	1	5209	5209	 Use of basic type 'signed short int'.	C:\PRQA\QA-Framework-1.0.5\components\m3cm-1.0.3\doc-en_US\messages\5209.html	typedefs that indicate size and signedness should be used in place of the basic numerical types	M3CM Dir-4.6	4
++ WARNING ++	Dir-04.06.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.06.c	Dir-04	36	0	4294967295	1	5209	5209	 Use of basic type 'int'.	C:\PRQA\QA-Framework-1.0.5\components\m3cm-1.0.3\doc-en_US\messages\5209.html	typedefs that indicate size and signedness should be used in place of the basic numerical types	M3CM Dir-4.6	4
++ WARNING ++	Dir-04.06.c	C:\PRQA\QA-Framework-1.0.5\samples\M3CM_Examples\src\Dir-04.06.c	Dir-04	37	0	4294967295	1	5209	5209	 Use of basic type 'signed'.	C:\PRQA\QA-Framework-1.0.5\components\m3cm-1.0.3\doc-en_US\messages\5209.html	typedefs that indicate size and signedness should be used in place of the basic numerical types	M3CM Dir-4.6	4
